country,iso3,depression_pct,anxiety_pct,suicide_rate_per100k,psychiatrists_per100k,mh_budget_pct_health,mh_spend_usd_per_capita,treatment_gap_pct,social_media_hours_daily,internet_penetration_pct,gdp_per_capita_usd,population_millions,covid_mh_increase_pct,youth_mh_crisis_score,mh_policy_exists,mh_law_exists,mh_crisis_index,total_affected_millions,psychiatrists_per_million,mh_investment_gap,depression_anxiety_comorbidity_est_pct,mh_system_score,income_group_code,data_year,data_source,region_Americas,region_E. Med,region_Europe,region_S-E Asia,region_W. Pacific,income_group_Low,income_group_Lower-Middle,income_group_Upper-Middle,social_media_mental_health_risk_Low (<1.5h),social_media_mental_health_risk_Moderate (1.5-2.5h),social_media_mental_health_risk_Very High (>3.5h)
Malawi,MWI,3.3,4.5,6.5,0.02,0.8,0.1,97,1.1,16,700,20.4,86,9.5,0,0,87,1.59,0.2,0.078,1.65,3.4,1,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025,False,False,False,False,False,True,False,False,True,False,False
Taiwan,TWN,3.9,4.4,12.4,8.8,6.5,55.0,24,1.4,92,34800,23.6,31,5.9,1,1,43,1.96,88.0,0.156,1.95,54.4,4,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025,False,False,False,False,True,False,False,False,True,False,False
Canada,CAN,5.2,6.8,11.5,16.2,7.0,140.0,21,1.8,95,56100,38.2,34,6.3,1,1,43,4.58,162.0,0.147,2.6,66.0,4,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025,True,False,False,False,False,False,False,False,False,True,False
United Kingdom,GBR,5.1,6.0,11.0,14.5,9.6,104.0,22,1.8,97,48900,67.7,34,6.4,1,1,43,7.51,145.0,0.211,2.55,71.7,4,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025,False,False,True,False,False,False,False,False,False,True,False
Italy,ITA,4.6,5.0,8.2,11.3,3.5,35.0,28,1.6,90,38200,59.2,30,5.9,1,1,42,5.68,113.0,0.098,2.3,47.0,4,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025,False,False,True,False,False,False,False,False,False,True,False
Japan,JPN,3.8,4.2,17.5,12.9,5.5,60.0,26,0.7,93,40900,124.0,31,5.8,1,1,42,9.92,129.0,0.143,1.9,55.8,4,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025,False,False,False,False,True,False,False,False,True,False,False
Ireland,IRL,5.2,6.1,9.6,11.2,6.1,88.0,24,1.9,96,106900,5.1,31,5.9,1,1,42,0.58,112.0,0.146,2.6,56.1,4,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025,False,False,True,False,False,False,False,False,False,True,False
Finland,FIN,5.6,5.8,14.6,27.6,11.3,195.0,19,1.8,95,54400,5.5,29,5.8,1,1,41,0.63,276.0,0.215,2.8,94.0,4,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025,False,False,True,False,False,False,False,False,False,True,False
Spain,ESP,4.5,5.0,8.5,10.8,5.2,42.0,27,2.0,91,33400,47.4,30,5.8,1,1,41,4.5,108.0,0.14,2.25,51.9,4,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025,False,False,True,False,False,False,False,False,False,True,False
Austria,AUT,4.8,5.1,14.2,22.3,7.6,108.0,21,1.7,94,54600,9.1,29,5.7,1,1,41,0.9,223.0,0.16,2.4,75.4,4,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025,False,False,True,False,False,False,False,False,False,True,False
Germany,DEU,4.9,5.2,12.2,27.0,11.2,142.0,21,1.5,93,54300,84.0,28,5.6,1,1,40,8.48,270.0,0.235,2.45,92.3,4,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025,False,False,True,False,False,False,False,False,True,False,False
Netherlands,NLD,4.8,5.0,10.8,15.8,8.1,118.0,21,1.6,95,59100,17.9,27,5.5,1,1,39,1.75,158.0,0.17,2.4,68.9,4,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025,False,False,True,False,False,False,False,False,False,True,False
Sweden,SWE,4.6,4.8,13.9,26.8,10.2,165.0,20,1.7,97,57700,10.5,27,5.4,1,1,39,0.99,268.0,0.204,2.3,89.3,4,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025,False,False,True,False,False,False,False,False,False,True,False
Denmark,DNK,4.7,4.9,11.3,19.4,8.9,178.0,19,1.6,98,67900,5.9,28,5.3,1,1,38,0.57,194.0,0.169,2.35,76.4,4,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025,False,False,True,False,False,False,False,False,False,True,False
Singapore,SGP,3.5,4.8,9.2,8.6,6.4,82.0,24,2.2,99,87800,6.0,28,5.4,1,1,38,0.5,86.0,0.154,1.75,53.9,4,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025,False,False,False,False,True,False,False,False,False,True,False
Switzerland,CHE,4.4,4.7,12.2,54.9,8.2,320.0,17,1.5,97,93400,8.8,27,5.2,1,1,37,0.8,549.0,0.139,2.2,100.0,4,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025,False,False,True,False,False,False,False,False,True,False,False
Norway,NOR,4.5,4.6,12.6,31.0,9.8,210.0,18,1.5,98,104900,5.5,26,5.1,1,1,36,0.5,310.0,0.176,2.25,93.8,4,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025,False,False,True,False,False,False,False,False,True,False,False
